Record#;Publisher;Publication Title;UKB APC discount %;HOOP1;HOOP2;HOOP3;Impact Factor 2014;JCR Quartile 2014;"ISSN
print";"ISSN
Online";Collection Code;Collection 2016;URL;;JCR subject category;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11962;Elsevier;Diagnostic Microbiology and Infectious Disease;100;Gezondheid;;;2.457;Q3;0732-8893;0732-8893;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/07328893; ;"WATER RESOURCES;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12011;Elsevier;Electric Power Systems Research;100;Techniek;;;1.749;Q2;0378-7796;0378-7796;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03787796; ;"ALLERGY;IMMUNOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13739;Elsevier;Electricity Journal, The;100;Techniek ;;;;;1040-6190;1040-6190;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/10406190; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20611;Elsevier;Energy;100;Natuur;;;4.844;Q1;0360-5442;0360-5442;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03605442; ;"FISHERIES;MARINE & FRESHWATER BIOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12056;Elsevier;Energy and Buildings;100;Techniek;;;2.884;Q1;0378-7788;0378-7788;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03787788; ;"BIOTECHNOLOGY & APPLIED MICROBIOLOGY;MICROBIOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12058;Elsevier;Energy Conversion and Management;100;Natuur;;;4.380;Q1;0196-8904;0196-8904;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/01968904; ;"ETHICS;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20612;Elsevier;Energy Economics;100;Techniek;Economie;;2.708;Q1;0140-9883;1873-6181;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/01409883; ;"BIOTECHNOLOGY & APPLIED MICROBIOLOGY;MARINE & FRESHWATER BIOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12061;Elsevier;Energy Policy;100;Natuur;;;2.575;Q1;0301-4215;0301-4215;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03014215; ;"PSYCHOLOGY, EDUCATIONAL;REHABILITATION;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28930;Elsevier;Energy Research and Social Science;100;Techniek;;;;;2214-6296;2214-6296;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/22146296; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26428;Elsevier;Energy Strategy Reviews;100;Techniek;;;;;2211-467X;2211-467X;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/2211467X; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
